Serial,DeepCompose Accuracy,Static Composition Accuracy,Module Stacking Accuracy,Train-from-scratch Accuracy,DeepCompose Training Time,Module Stacking Training Time,Train-from-scratch Training Time,#Dataset,#Modules,#MNIST,#EMNIST,#FMNIST,#KMNIST,Combination
0,95.69,91.0,93.0,95.32,520.88,1492.42,1154.61,3,7,2,0,1,4,(fmnist:1-)(kmnist:2-5-7-9-)(mnist:2-4-)
1,82.27,7.11,81.32,80.77,4456.14,127622.53,20449.58,2,70,0,61,9,0,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:0-1-2-3-4-5-6-7-9-)
2,92.42,81.12,91.19,92.05,1612.88,14319.06,3109.66,2,20,10,0,10,0,(fmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:0-1-2-3-4-5-6-7-8-9-)
3,89.09,16.14,86.45,86.78,3459.97,108415.15,12630.33,4,54,4,38,2,10,(emnist:2-3-5-8-9-10-12-13-14-15-16-17-19-21-22-23-26-27-28-29-32-33-34-36-38-39-40-42-44-45-46-47-48-52-53-54-56-59-)(fmnist:3-8-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:2-3-4-5-)
4,94.16,45.41,91.26,93.17,1945.21,38119.58,6881.07,4,28,9,4,9,6,(emnist:4-8-39-55-)(fmnist:0-1-2-3-4-5-6-7-8-)(kmnist:0-1-2-4-5-8-)(mnist:0-1-2-3-4-5-6-7-8-)
5,97.43,61.92,94.58,97.44,843.1,7022.3,2777.76,4,12,1,4,4,3,(emnist:11-19-35-36-)(fmnist:1-4-8-9-)(kmnist:3-4-7-)(mnist:2-)
6,83.65,7.87,80.92,81.44,5142.88,134412.86,16739.24,4,72,6,60,3,3,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-33-34-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:4-5-6-)(kmnist:3-5-6-)(mnist:0-3-4-5-6-8-)
7,85.44,12.29,84.5,84.97,3970.03,47313.34,10038.69,3,56,1,53,2,0,(emnist:1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-22-23-25-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-51-52-53-54-55-56-57-58-59-60-)(fmnist:1-5-)(mnist:2-)
8,83.24,11.25,81.28,80.94,5366.09,111696.1,23728.61,4,77,6,59,6,6,(emnist:0-1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-50-51-52-53-54-55-56-57-58-59-60-)(fmnist:3-4-6-7-8-9-)(kmnist:0-2-3-4-6-7-)(mnist:1-3-4-6-8-9-)
9,86.31,15.5,84.28,83.96,4514.63,136588.32,10394.8,4,67,5,44,8,10,(emnist:1-2-3-4-5-6-7-8-9-10-11-12-13-15-16-18-19-20-21-22-23-24-25-26-27-28-29-30-32-34-39-41-42-44-46-47-48-51-52-55-57-59-60-61-)(fmnist:0-1-2-3-4-5-6-8-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:0-1-3-4-6-)
10,91.76,83.38,88.2,91.11,1242.68,4593.52,2954.42,3,12,2,0,7,3,(fmnist:0-1-3-4-5-6-8-)(kmnist:5-7-9-)(mnist:4-6-)
11,81.52,13.55,80.84,81.24,4509.97,63765.07,11536.36,2,61,2,59,0,0,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-54-55-56-57-58-59-60-61-)(mnist:0-2-)
12,97.71,44.17,94.49,97.31,1091.76,8569.65,2470.02,3,13,2,8,3,0,(emnist:19-22-31-37-39-41-52-58-)(fmnist:3-4-5-)(mnist:3-6-)
13,86.0,11.16,83.12,82.82,5186.62,163755.09,21773.62,3,73,9,56,0,8,(emnist:1-2-3-4-5-6-7-8-9-10-11-12-14-15-16-17-18-19-21-22-23-24-25-26-27-28-29-30-31-32-33-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-52-53-54-55-56-57-58-59-60-61-)(kmnist:1-2-4-5-6-7-8-9-)(mnist:0-2-3-4-5-6-7-8-9-)
