#Module,Scratch,Static,SC,MU,MS
3,100.0,81.25,94.08,100.0,100.0
5,100.0,63.97,97.57,97.98,100.0
8,97.99,54.78,89.66,97.53,98.15
9,96.97,62.14,55.64,95.66,96.82
12,98.93,63.67,93.35,98.07,98.93
17,95.74,92.31,87.34,96.21,95.5
20,97.05,42.88,88.49,95.61,97.55
21,96.96,38.22,91.98,95.34,96.84
35,94.87,23.95,85.44,93.0,95.48
37,92.4,38.69,87.77,90.41,93.87
39,92.96,30.39,86.13,91.84,93.78
42,92.36,28.45,76.24,89.95,93.22
48,89.46,33.57,78.37,87.29,89.95
50,89.1,20.69,72.22,85.3,89.73
54,88.07,33.6,83.51,83.7,89.0
57,86.47,41.34,81.91,81.56,87.23
58,91.17,24.63,76.2,87.86,91.54
62,86.645,42.989999999999995,80.04,82.235,87.485
65,88.52,42.5,81.28,85.1,89.07
66,86.27,22.39,71.68,83.26,87.01
74,87.05,16.76,75.22,81.54,86.99
76,86.61,20.68,73.14,81.41,86.79
78,87.21000000000001,20.965,70.755,83.575,87.36
