Combination ID,Modularized Accuracy,Precision,Recall,F1,AUC,Setup Time,Update Time,Inference Time
0,0.8154158215,0.7260521966,0.7535581193,0.72741539,0.875509314,2.985208711,44.31737799,0.0001418002651
1,0.8156498674,0.7078773191,0.7567143919,0.7217286243,0.8766940914,3.034732208,39.28252026,0.000122265155
2,0.8564288176,0.7817024015,0.7904586609,0.7808658729,0.8942902573,3.409952203,46.65934931,0.0001341662512
3,0.8530292559,0.7988589877,0.832447382,0.8074725759,0.9147097055,2.962217846,33.3257629,0.0001407298095
4,0.9534412955,0.8840138564,0.9019716291,0.8925221299,0.9498278143,3.109083846,22.23297495,0.0001586232591
5,0.814061499,0.7318106588,0.7634367591,0.7354922968,0.8804699673,3.089131575,49.86501091,0.0001621098411
6,0.8326435127,0.7390774411,0.7585658875,0.7400464889,0.8779821624,3.067079913,41.83618236,0.0001293184097
7,0.8510264959,0.7203394237,0.7354103281,0.7192429012,0.8665365352,3.054879423,41.84608675,0.0001447158
8,0.9566473988,0.9168087297,0.9091124997,0.9127943563,0.9518797542,3.008337286,7.690642569,0.0002434954248
9,0.8217338217,0.7750931003,0.8015601576,0.7802589542,0.8993028389,3.070738127,34.70689186,0.0001427079632
10,0.8994861914,0.8423687687,0.8598260636,0.8475621584,0.9286680946,3.068726738,26.735648,0.001224963292
11,0.8229681377,0.730071198,0.7475882098,0.7291939734,0.8723324092,3.03070366,43.77077197,0.0001339975119
12,0.8785886478,0.8094652926,0.835403977,0.8154447887,0.9166269744,3.023300467,33.91193111,0.0001566425488
13,0.9041450777,0.8540397192,0.8806359547,0.8621237237,0.93897137,3.036797846,29.34506629,0.0001693195299
14,0.975308642,0.9605555679,0.9662416107,0.9631073605,0.9814485646,3.506353319,8.423295349,0.0003288754343
15,0.9561151079,0.9411953643,0.9427926798,0.9411483149,0.9702426794,3.431318879,14.45661902,0.000216067592
16,0.9621301775,0.962522606,0.9624500338,0.9618884774,0.9800412283,3.449566168,8.116892366,0.0002320471351
17,0.9299548096,0.8360206583,0.841994015,0.8296849818,0.9199701247,3.551930979,27.05990804,0.0001780226784
18,0.918429003,0.8542171295,0.8573095156,0.8459247068,0.9275640994,3.570180661,30.29630658,0.0001793227287
19,0.979757085,0.977972028,0.9864423553,0.9816220005,0.9907786064,3.494279861,3.811956167,0.0003832351824
20,0.8728682171,0.818574066,0.8412335219,0.8274135422,0.9192456862,3.295667797,33.6630031,0.000154682288
21,0.8150996704,0.7311924988,0.7506451495,0.7316144217,0.874113205,3.0065647,46.08350983,0.0001338640012
22,0.9807073955,0.9670888279,0.9749377069,0.9707865556,0.986598278,3.034334501,10.29995936,0.0002010876939
23,0.8369925435,0.7390313932,0.7461351059,0.7351564729,0.871520985,3.042446777,37.91449097,0.0001305909619
24,1,1,1,1,1,3.068946679,3.26169618,0.0003536659897
100,0.9269406393,0.9223975717,0.9183021622,0.9198372009,0.9538936352,2.76681906,3.812885523,0.0004046078958
101,0.9617486339,0.9631609019,0.9618181818,0.9616368262,0.9789961742,2.697691311,5.131131562,0.0002380020276
102,0.8684210526,0.8288206475,0.8435333083,0.8278395768,0.9204876849,2.702336437,29.70841845,0.0001332727516
103,0.9326874044,0.8909793573,0.8897320115,0.8833486637,0.94370338,2.756394204,15.12132529,0.0001605775148
104,0.8319234503,0.7677137203,0.7797516468,0.762550123,0.8889149175,2.679562834,43.94983728,0.0001126066141
105,0.9112240907,0.8767596931,0.9033919517,0.8849296672,0.9498142168,2.739813223,18.90207761,0.000130095797
106,0.8226409451,0.7317879211,0.7516258419,0.734017157,0.8746826099,2.770671457,43.39166725,0.0001377090613
107,0.8813459268,0.7952720996,0.8099635424,0.7908575637,0.9040226295,2.741290002,33.60367624,0.000122866835
108,0.9138381201,0.9171660605,0.9156123899,0.9154258195,0.9551039042,2.653033944,5.960390834,0.0002183378832
