Combination ID,Scratch,Static,SC,MU,MS,#Dataset,#Modules
0,76.51,22.11,61.22,76.66,76.86,3,74
1,75.89,36.05,69.84,75.75,76.51,3,57
2,79.81,29.58,57.69,78.71,79.63,4,78
3,82.56,27.56,66.62,82.32,83.48,3,50
4,88.29,40.81,77.95,90.62,87.95,2,21
5,77.16,23.36,61.43,75.46,76.87,3,76
6,76.92,23.14,64.59,76.23,78.14,3,66
7,74.37,34.8,68.86,73.68,74.89,2,65
8,92.22,55.44,62.22,92.67,93.33,4,9
9,79.5,31.06,66.6,80.92,81.35,3,62
10,86.19,36.36,64.38,84.57,86.57,4,42
11,74.16,49.02,72.53,75.9,77.82,3,62
12,84.71,33.71,66.78,84.24,85.66,4,58
13,88.65,37.86,81.68,88.41,89.7,2,37
14,97.12,81.25,83.0,96.5,97.62,4,8
15,95.6,51.5,83.2,94.65,95.9,2,20
16,97.0,93.76,87.18,96.76,97.35,2,17
17,85.6,32.8,73.2,86.6,86.11,3,35
18,86.56,30.54,74.13,86.08,86.54,4,39
19,99.0,60.0,95.0,99.2,99.0,2,5
20,84.58,35.92,67.42,81.54,84.83,4,48
21,76.42,25.56,62.17,74.21,77.26,3,78
22,97.67,65.25,89.25,97.58,98.5,3,12
23,72.81,30.19,67.17,73.5,74.67,2,54
24,99.67,88.33,87.33,99.67,99.67,3,3
25,75.99,28.32,57.44,77.24,77.36,4,85
26,91.79,37.97,76.79,92.1,91.48,3,29
27,77.8,21.82,66.34,77.99,78.28,3,71
28,79.97,27.29,65.4,81.95,80.79,3,58
29,98.8,84.8,95.6,99.0,99.6,4,5
30,98.8,96.6,85.3,97.9,98.6,2,10
31,99.0,99.0,97.2,98.8,98.8,2,5
32,83.21,43.42,55.92,84.83,83.38,2,24
33,83.21,65.79,79.08,83.21,83.1,2,39
34,85.9,44.79,79.33,85.93,87.43,2,42
35,78.64,20.03,65.71,77.3,80.61,4,69
36,77.0,24.73,69.33,75.12,78.06,2,64
37,94.85,94.77,74.23,95.85,95.92,2,13
38,92.44,47.42,65.28,91.64,91.22,4,36
39,83.32,22.46,76.24,83.7,84.66,4,50
40,88.0,35.62,63.8,83.88,89.38,3,40
41,72.44,46.65,68.54,73.19,74.39,2,57
42,98.11,63.78,80.33,98.78,98.44,2,9
43,87.46,38.69,76.49,87.05,89.1,3,39
44,97.58,92.75,47.92,97.83,98.83,3,12
45,87.34,35.08,59.39,86.15,88.03,4,59
46,85.84,28.63,73.13,85.68,86.37,2,38
47,90.56,91.89,93.0,92.33,94.11,2,9
48,92.23,54.17,62.73,92.27,92.13,4,30
49,84.03,27.7,75.08,84.78,85.78,4,40
50,77.99,22.0,62.24,77.51,77.9,3,79
51,84.41,29.89,65.46,83.91,84.82,4,56
52,97.67,97.17,96.67,97.33,98.33,2,6
53,99.3,91.5,66.2,98.8,99.2,4,10
54,75.1,28.08,58.26,77.73,79.02,4,90
55,98.54,94.77,90.31,99.0,99.08,2,13
56,85.5,86.5,63.75,89.75,91.0,2,4
57,100.0,86.0,86.5,99.5,100.0,4,4
58,97.7,48.2,84.1,97.9,97.6,2,10
59,94.4,89.1,74.5,94.0,93.6,2,10
60,96.58,94.42,72.5,95.92,97.0,2,12
61,98.8,99.0,99.8,99.0,99.4,2,5
62,75.08,23.39,68.25,71.8,76.16,2,64
63,95.13,46.2,77.67,93.6,95.27,4,15
64,95.92,90.69,78.31,95.85,96.38,3,13
65,84.46,23.32,78.71,86.59,85.2,2,41
66,96.89,94.79,82.47,97.0,97.63,3,19
67,95.08,60.54,66.62,93.62,95.0,4,26
68,95.0,93.17,91.56,95.11,96.33,2,18
69,90.12,50.08,81.6,91.36,91.0,4,25
70,79.55,26.07,69.53,77.1,81.92,2,40
71,96.52,62.55,72.79,95.93,97.03,3,29
72,78.43,28.1,57.56,78.17,78.11,4,88
73,75.1,26.12,60.45,76.44,77.87,4,86
74,93.5,92.75,90.06,91.94,93.88,2,16
75,99.5,74.5,99.0,98.5,99.5,2,2
76,84.52,34.23,68.4,85.4,84.05,3,40
77,90.11,34.58,78.16,89.53,90.37,2,19
78,99.25,95.12,86.25,98.75,99.12,2,8
79,77.18,22.35,67.18,74.02,79.7,3,57
80,93.76,59.62,56.48,93.52,94.62,4,29
81,75.37,19.78,61.73,75.49,76.49,3,79
82,80.42,18.98,62.72,78.84,81.22,4,50
83,82.02,27.3,64.83,80.89,82.45,4,53
84,86.74,35.34,73.45,86.08,87.47,3,38
85,73.54,28.65,70.67,74.32,75.11,2,57
86,75.89,22.45,56.35,77.45,77.06,4,82
87,83.91,43.74,72.17,85.48,85.04,4,23
88,83.11,25.47,63.77,82.06,85.72,4,47
89,90.9,89.8,86.2,88.3,89.6,2,10
90,97.07,87.71,66.5,95.14,95.71,2,14
91,88.56,40.62,81.13,88.64,90.51,3,39
92,88.73,36.62,62.23,87.95,89.27,4,56
93,77.79,20.57,67.45,77.19,79.57,2,58
94,75.86,19.82,68.86,75.49,77.39,3,57
95,85.51,27.32,77.84,85.19,86.51,2,37
96,86.83,36.77,60.98,84.73,86.62,4,48
97,77.53,25.56,62.93,78.47,77.36,3,81
98,78.29,42.84,74.69,79.06,80.63,2,51
99,79.34,24.61,59.21,75.89,79.09,4,70
100,90.62,63.12,80.25,91.88,90.38,2,8
101,94.09,94.73,85.91,96.18,95.45,2,11
102,85.57,35.09,56.75,85.49,86.89,3,53
103,89.53,29.97,71.13,90.03,90.13,2,30
104,78.27,30.12,59.42,78.49,78.58,4,89
105,91.72,54.08,85.0,92.12,92.28,3,25
106,74.46,24.43,56.95,74.86,76.0,3,80
107,80.97,21.84,68.67,80.24,81.62,4,63
108,94.0,76.24,71.29,94.12,93.53,3,17
109,78.27,25.97,57.53,77.47,77.78,4,79
110,94.89,93.44,70.22,94.89,95.67,2,9
111,77.77,23.58,64.0,76.86,78.62,4,77
112,96.9,93.2,70.4,96.4,97.7,3,10
113,94.38,59.67,53.77,93.9,94.5,4,40
114,97.93,47.57,78.21,98.0,97.79,3,14
115,94.0,89.55,73.95,93.7,93.95,3,20
116,98.2,96.4,96.4,99.4,98.4,2,5
117,98.8,88.6,94.6,99.2,99.0,4,5
118,99.33,88.17,59.5,98.5,99.33,4,6
119,79.5,47.41,76.2,77.2,79.26,3,46
120,75.1,24.62,63.58,74.26,75.74,4,77
121,77.21,20.01,64.45,73.49,77.07,3,75
122,80.86,38.0,64.95,81.91,80.25,4,44
123,73.91,17.46,64.12,73.03,76.29,3,68
124,89.14,54.39,86.39,90.86,89.39,3,28
125,99.25,97.5,96.5,98.5,98.5,2,4
126,85.89,35.95,69.54,87.14,86.73,4,37
127,90.59,48.03,64.97,89.74,90.68,4,34
128,91.94,79.88,72.47,92.35,93.53,3,17
129,96.09,93.27,82.82,95.0,95.64,2,11
130,100.0,100.0,97.75,100.0,100.0,2,4
131,73.95,36.38,67.69,74.8,75.77,3,64
132,95.95,71.45,70.75,94.95,95.7,4,20
133,90.0,39.95,64.68,90.44,90.46,3,41
134,86.77,43.03,83.66,88.49,88.66,2,35
135,98.67,98.33,99.08,99.25,98.92,2,12
136,81.76,32.67,71.04,84.12,82.39,3,49
137,79.93,27.0,57.21,81.92,80.97,4,73
138,92.89,43.14,65.86,91.86,93.14,4,35
139,74.55,16.11,69.3,72.76,75.98,2,66
140,97.0,61.45,78.36,95.64,98.09,2,11
141,97.75,60.25,81.08,98.25,98.17,3,12
142,73.2,21.61,67.06,75.01,75.49,2,71
143,83.25,32.42,72.47,83.53,84.08,3,53
144,94.91,86.0,81.91,96.55,95.09,3,11
145,96.75,81.88,76.62,96.25,96.62,4,8
146,98.83,68.0,95.5,98.83,98.5,2,6
147,77.83,20.46,74.08,76.52,79.78,2,65
