Combination ID,MS,MU,Scratch,SC Infer,Scratch Infer,Voting Infer,MU Setup,SC Setup
9,22.1,34.71,1011.23,3563.53,6613.0,130.91,3.07,18.07
1,62.44,39.28,1597.66,3580.04,8905.85,119.97,3.03,18.05
5,75.67,49.87,1499.99,3575.12,5374.24,143.72,3.09,18.01
6,77.59,41.84,2091.39,3553.57,232.36,129.54,3.07,18.28
7,40.99,41.85,1880.01,3569.23,296.81,129.28,3.05,18.13
19,0.14,3.81,60.36,3255.16,90735.23,389.63,3.49,16.7
21,69.95,46.08,1953.1,3445.41,9064.96,132.77,3.01,17.79
8,18.52,7.69,199.18,3397.64,5732.64,234.61,3.01,19.02
10,9.49,26.74,1084.16,3476.45,9135.44,165.42,3.07,18.4
18,9.36,30.3,1004.22,3476.12,128.62,163.1,3.57,17.6
14,18.8,8.42,167.0,3243.68,55495.14,300.68,3.51,18.29
15,24.03,14.46,425.17,3305.31,12923.16,188.51,3.43,18.03
16,7.85,8.12,201.25,3326.65,2085.27,209.49,3.45,16.81
20,54.01,33.66,1363.18,3454.37,10580.63,156.75,3.3,18.13
22,0.86,10.3,283.52,3531.33,42555.06,187.44,3.03,18.8
4,5.15,22.23,531.5,3635.89,12872.01,137.59,3.11,20.76
24,3.1,3.26,74.13,3347.33,462.09,343.5,3.07,21.32
17,10.27,27.06,870.24,3393.75,203.9,160.82,3.55,17.08
0,33.3,44.32,3050.32,3496.63,5475.78,136.49,2.99,18.3
23,21.38,37.91,1152.84,3599.74,2271.42,130.3,3.04,17.65
3,20.51,33.33,1320.73,3447.56,5466.8,143.56,2.96,17.98
11,40.99,43.77,1403.65,3543.49,10441.81,124.1,3.03,18.42
13,9.05,29.35,1210.59,3427.77,418.6,153.35,3.04,18.04
12,46.41,33.91,1485.23,3389.53,8512.16,133.25,3.02,17.28
2,41.04,46.66,1630.32,3458.73,174.25,127.89,3.41,17.57
