Combination ID,Model Accuracy,Precisio,Recall,F1,AUC,Training Time,Eval Time
0,0.8704946169,0.7857173458,0.7634732803,0.7609944052,0.9969007035,3050.321671,0.005475782645
1,0.8647214854,0.777211169,0.7598711513,0.7613548902,0.9956012285,1597.657659,0.008905847672
2,0.8831437435,0.8117969966,0.7913699407,0.7864962884,0.9973827072,1630.316015,0.0001742499567
3,0.8910389311,0.841555619,0.827721368,0.8303471207,0.9965381198,1320.733531,0.005466798516
4,0.9696356275,0.9000470162,0.8882085568,0.8842840698,0.9976253939,531.4982417,0.01287200712
5,0.866111467,0.7779575531,0.7616087246,0.7579875018,0.9966611185,1499.988728,0.005374244854
6,0.8626956991,0.8053515393,0.7656052773,0.7687263769,0.9963512443,2091.394239,0.0002323591776
7,0.8852430251,0.7604226315,0.7325820226,0.7297711641,0.9969262181,1880.006738,0.0002968063227
8,0.9696531792,0.9617345976,0.9189501784,0.9333320754,0.9970992591,199.1811979,0.005732637609
9,0.8640618641,0.8060990887,0.7861709566,0.7852038111,0.9969315864,1011.229834,0.006612999681
10,0.9235709698,0.8912568395,0.8557350048,0.861695023,0.9976938563,1084.156915,0.009135443964
11,0.868802181,0.7751856233,0.7571090621,0.753065645,0.9956004441,1403.649892,0.01044181348
12,0.9116809117,0.8587833048,0.8473311793,0.8481351239,0.9975902867,1485.230582,0.008512158679
13,0.9240069085,0.8838843916,0.8825343774,0.8813535847,0.9977142393,1210.594251,0.0004185999545
14,0.9799382716,0.9675,0.9675,0.9675,0.9991011706,166.9999516,0.05549514183
15,0.9705035971,0.9578615986,0.9564677977,0.9565988585,0.9992605353,425.1658943,0.01292316142
16,0.9573964497,0.9591437085,0.9573855856,0.9576314402,0.9990596946,201.2539458,0.002085272377
17,0.9486765655,0.8689870891,0.8374760034,0.843458735,0.9981690179,870.2399561,0.0002039048347
18,0.9296072508,0.8733617763,0.8476357263,0.8464010877,0.9979256713,1004.221611,0.0001286150826
19,1,1,1,1,1,60.36063814,0.09073522506
20,0.8945736434,0.8398883774,0.8345554999,0.8329097556,0.9971811675,1363.177295,0.01058063113
21,0.8610893109,0.7855260234,0.766869891,0.7676064595,0.9967198502,1953.097613,0.009064957366
22,0.9892818864,0.9935836406,0.9823056983,0.9877848737,0.9999149017,283.5247259,0.04255505927
23,0.8806959403,0.7912684708,0.7454095305,0.7492851938,0.9950868639,1152.839774,0.002271418741
24,1,1,1,1,1,74.12839317,0.0004620897143
25,0.8632646881,0.8098332477,0.7823212276,0.7840281477,0.996943349,2581.848636,0.0003248588162
