Combination ID,Model Accuracy,Training Time,Eval Time
0,0.7402702703,180.97334,5.51E-05
1,0.7222807018,106.9694512,5.28E-05
2,0.7770512821,246.6053653,4.95E-05
3,0.8148,168.5848901,5.69E-05
4,0.8714285714,69.94116116,7.88E-05
5,0.7238157895,126.3882623,5.00E-05
6,0.7421212121,157.7100058,5.15E-05
7,0.7084615385,103.9337163,5.18E-05
8,0.9122222222,11.95733309,0.0001183152199
9,0.7858064516,149.5033031,7.78E-05
10,0.8383333333,88.89357734,9.08E-05
11,0.7387096774,154.3626523,4.94E-05
12,0.8129310345,101.76735,5.36E-05
13,0.8656756757,112.8001378,6.13E-05
14,0.95125,18.77329731,0.0001352009177
15,0.9085,45.83961868,7.74E-05
16,0.95,19.70549798,8.74E-05
17,0.838,94.3986454,6.33E-05
18,0.8412820513,133.6749206,6.14E-05
19,0.976,5.47332716,0.0002008032799
20,0.8122916667,78.78562069,5.62E-05
21,0.7305128205,155.5220544,4.73E-05
22,0.965,17.88462758,0.0001088843743
23,0.707962963,107.4255929,5.46E-05
24,0.9866666667,4.587594509,0.0003191741308
25,0.7472941176,227.73002,4.94E-05
26,0.8748275862,55.01400447,0.0001423761762
27,0.7532394366,158.6587119,5.05E-05
28,0.7896551724,161.3973601,4.97E-05
29,0.974,4.356750488,0.000203394413
30,0.957,11.01600432,0.0001218633652
31,0.976,4.861845255,0.0002410168648
32,0.8083333333,53.18726563,7.23E-05
33,0.8028205128,66.2274754,5.61E-05
34,0.8292857143,168.2360687,5.57E-05
35,0.7631884058,156.2977421,5.00E-05
36,0.74625,169.5759656,7.34E-05
37,0.9184615385,17.83401942,0.0001035673802
38,0.8830555556,108.6153781,6.11E-05
39,0.8192,108.669651,9.89E-05
40,0.85875,91.09653854,6.05E-05
41,0.7015789474,129.0152285,5.52E-05
42,0.9644444444,26.79050207,0.0001237265269
43,0.8376923077,85.17903686,5.63E-05
44,0.965,16.30403757,9.96E-05
45,0.8410169492,94.46162415,5.24E-05
46,0.8423684211,111.5103056,5.99E-05
47,0.91,13.62239122,0.0001267639796
48,0.897,62.6810689,6.63E-05
49,0.81575,76.87735772,5.53E-05
50,0.7484810127,200.483032,6.77E-05
51,0.8064285714,134.7717586,5.24E-05
52,0.9633333333,6.332637548,0.0001760268211
53,0.983,17.62929511,0.0001132586002
54,0.7511111111,283.6419697,4.74E-05
55,0.9723076923,13.79966569,0.0002666488061
56,0.8525,6.671158075,0.0002393770218
57,0.9975,6.110180378,0.000228509903
58,0.965,20.24704981,0.0001127529144
59,0.926,21.29620934,0.0001205618382
60,0.9116666667,12.75055981,9.96E-05
61,0.988,7.108735085,0.0001967592239
62,0.7359375,222.0532506,4.85E-05
63,0.928,29.91520262,9.20E-05
64,0.9253846154,18.91026306,9.81E-05
65,0.8270731707,118.2591469,5.78E-05
66,0.9489473684,32.71050692,8.29E-05
67,0.9276923077,67.61178112,7.01E-05
68,0.935,38.23617625,8.41E-05
69,0.89,44.0285449,6.99E-05
70,0.7745,60.07799435,5.51E-05
71,0.9362068966,55.76413274,6.23E-05
72,0.7559090909,300.0235267,4.77E-05
73,0.7355813953,279.7322083,4.81E-05
74,0.915625,34.15390491,8.55E-05
75,0.995,2.348350525,0.001805707216
76,0.81,111.9727092,5.62E-05
77,0.8668421053,19.64238954,0.0002437710762
78,0.98,6.564308643,0.0001283591986
79,0.7628070175,149.2018754,5.05E-05
80,0.9175862069,41.72700167,6.34E-05
81,0.7253164557,198.9193485,4.65E-05
82,0.7718,130.6171043,6.51E-05
83,0.7998113208,160.1286554,6.02E-05
84,0.8376315789,93.94860387,5.72E-05
85,0.7087719298,124.4694743,5.21E-05
86,0.7348780488,254.6902776,5.44E-05
87,0.8486956522,37.37528658,8.27E-05
88,0.7963829787,84.445822,5.60E-05
89,0.893,19.89193225,0.0001272687912
90,0.9235714286,26.84575105,0.0001019760541
91,0.8748717949,127.3759162,5.85E-05
92,0.8580357143,202.945004,5.14E-05
93,0.7689655172,154.2302778,5.87E-05
94,0.730877193,86.21345234,5.19E-05
95,0.8313513514,121.7197053,5.99E-05
96,0.8347916667,83.16609097,5.39E-05
97,0.7497530864,219.4799919,5.22E-05
98,0.7737254902,113.5493217,5.67E-05
99,0.761,154.207881,5.20E-05
100,0.88,7.172101974,0.0001386508346
101,0.91,15.13010502,0.0001295217601
102,0.8347169811,122.2751348,9.88E-05
103,0.8566666667,45.98249507,6.62E-05
104,0.7580898876,332.7219617,5.09E-05
105,0.8864,42.80996013,7.27E-05
106,0.72425,209.2066083,4.99E-05
107,0.7758730159,132.4203031,5.13E-05
108,0.9,14.49324107,8.17E-05
109,0.7534177215,259.6277704,4.68E-05
110,0.9444444444,17.98654985,0.0001221164068
111,0.751038961,196.6212668,4.88E-05
112,0.942,12.22256947,0.0001230294704
113,0.91125,63.73617053,6.33E-05
114,0.9621428571,22.97757292,9.79E-05
115,0.902,21.12383151,0.0001007299423
116,0.924,3.43031764,0.0001956114769
117,0.99,8.052582979,0.0001982040405
118,0.9733333333,4.99635005,0.0001669855913
119,0.75,139.5952704,5.84E-05
120,0.7188311688,144.0483539,4.64E-05
121,0.7412,206.132503,7.62E-05
122,0.7770454545,137.9947076,5.73E-05
123,0.7329411765,147.2163534,5.08E-05
124,0.8675,57.36571479,7.19E-05
125,0.9775,6.543649197,0.0002240854502
126,0.8481081081,63.98394108,5.65E-05
127,0.8782352941,69.7937386,6.41E-05
128,0.8605882353,17.74205184,7.96E-05
129,0.9518181818,19.94759059,0.0001172174107
130,0.995,4.249134302,0.0002317863703
131,0.72765625,191.4826031,4.72E-05
132,0.921,27.17089653,7.49E-05
133,0.8709756098,115.4170411,5.61E-05
134,0.8491428571,93.68532729,5.94E-05
135,0.9691666667,9.30066967,0.0001072235902
136,0.7979591837,116.689162,5.47E-05
137,0.7784931507,179.2360172,5.26E-05
138,0.9037142857,61.44146013,5.85E-05
139,0.7187878788,169.8530939,4.83E-05
140,0.9627272727,26.43750143,0.0001050890576
141,0.9633333333,15.454422,0.000107947588
142,0.7261971831,146.5900569,4.73E-05
143,0.808490566,98.61539817,5.19E-05
144,0.9327272727,15.86522555,0.0001104482737
145,0.93375,8.795745134,0.0001392045617
146,0.9733333333,4.009871006,0.0001637645562
147,0.762,229.8934281,4.91E-05
148,0.8717777778,93.92827773,5.86E-05
149,0.819,78.83529472,5.42E-05
150,0.845483871,77.28283715,6.87E-05
151,0.905,110.5977242,5.54E-05
152,0.8183870968,116.6267233,6.79E-05
153,0.9825,4.502223015,0.0002299791574
154,0.7779166667,153.8312781,5.12E-05
155,0.9078571429,22.75457644,9.13E-05
156,0.8528571429,34.2213316,7.37E-05
157,0.9692857143,35.27364874,9.52E-05
158,0.7465909091,208.6344411,4.51E-05
159,0.946,31.67286849,8.92E-05
160,0.9533333333,21.69075513,8.78E-05
161,0.965625,29.6038897,9.01E-05
162,0.748028169,228.3448832,4.83E-05
163,0.9095454545,35.46399665,7.70E-05
164,0.98625,10.40521812,0.0001252314448
165,0.9825,17.71380734,0.0001081947486
166,0.7897647059,182.0936737,4.61E-05
167,0.99,6.39070034,0.0002283573151
168,0.8661111111,75.09235597,6.07E-05
169,0.7869047619,111.3060222,5.70E-05
170,0.971,44.7243228,7.96E-05
171,0.7562857143,169.257782,4.76E-05
172,0.9713333333,15.88495469,8.84E-05
173,0.9866666667,3.666199446,0.0002954824766
174,0.7162857143,158.8611934,4.79E-05
175,0.957,7.724539518,0.0001161446571
176,0.9166666667,40.16458845,9.18E-05
177,0.9485714286,14.78944778,9.14E-05
178,0.864516129,55.78253412,7.40E-05
179,0.9855555556,20.25689411,0.0001238629553
180,0.9225,32.34233904,8.25E-05
181,0.9641176471,32.41316366,8.69E-05
182,0.7195890411,115.8787241,4.72E-05
183,0.9011111111,39.68902373,7.34E-05
184,0.9557142857,68.52854967,7.36E-05
185,0.9866666667,3.807729483,0.0003182355563
186,0.98,2.711487293,0.0002364170551
187,0.7649411765,156.6503508,4.65E-05
188,0.8252173913,132.7508731,5.96E-05
189,0.8657575758,83.71476173,6.72E-05
190,0.91,16.3836658,0.0001152236462
191,0.8826923077,70.15474844,6.84E-05
192,0.7820833333,78.60354328,5.32E-05
193,0.7879661017,130.9559984,4.91E-05
194,0.7418390805,185.1421323,6.02E-05
195,0.8333333333,160.5966368,5.57E-05
196,0.9016,37.81752753,6.91E-05
197,0.8724489796,118.9676712,5.33E-05
198,0.9275,33.36058664,8.41E-05
199,0.91,16.72693634,0.0001285025477
